pid,group,race_ethn,gender,age,geq,ibqh,tsc
175,1,5,2,18,1.7,0,42
176,1,5,1,18,3.05,19,52
177,1,1,2,19,2.650789954776555,12,16
178,1,2,1,19,1.2,22,19
179,1,5,1,18,2.4,5,23
180,1,5,1,18,2.35,0,10
181,1,5,1,18,3.85,8,22
182,1,2,2,18,1.4,1,16
183,1,5,1,19,2.116561670408701,7,11
184,1,5,2,19,2.15,14,11
185,1,3,1,18,2.9,15,39
186,1,5,2,20,2.05,3,28
187,1,3,1,18,2.4,0,17
188,1,5,1,18,1.2,0,16
189,1,2,2,22,2.5,15,58
190,1,5,2,19,1.65,8,6
191,1,5,1,20,2.1,5,15
192,1,5,1,19,4.95,14,11
193,1,5,1,18,1.2,4,1
194,1,5,1,18,2.15,0,20
195,1,5,2,18,1.65,3,12
196,1,1,1,19,2.65,15,23
197,1,2,1,18,2.8,0,34
198,1,5,1,18,1.25,16,3
199,1,2,1,23,1,0.626879082166814,13
200,1,5,2,18,1.8,5,33.0705527889708
201,1,5,2,18,2.45,9,17
202,1,5,1,18,1.45,20,31
203,1,5,2,18,3,12,0
204,1,6,2,19,1.7,3,52
205,1,5,2,21,1.5,0,8
206,1,2,2,20,2.4,18,16
207,1,5,1,18,2.65,16,50
208,1,5,2,19,1.35,4,16
209,1,5,1,18,1,20,12
210,1,5,2,19,2.25,4,38
211,1,5,1,19,2.1,12,19
212,1,5,2,18,2.3,0,8
213,1,5,2,18,1.95,12,8.778953165218502
214,1,5,2,19,2.6,6.139108142226686,3
215,1,5,1,19,2.9,23,29
216,1,5,2,19,1.9,15,9.581045648692292
217,1,5,2,19,2.15,0,40
218,1,5,1,18,1.3,0,23.84020641453306
219,1,5,1,20,4.35,30,33
220,1,5,1,19,1.5,1,30
221,1,2,1,19,4.5,8,38
222,1,5,1,21,2.85,17,45.56815191183579
223,1,5,2,19,2.3,16,15
224,1,5,1,18,1.8,12,7
225,1,2,1,21,1,3,16
226,1,6,1,20,1.5,10,9
227,1,5,2,18,1.5,4,3
228,1,5,1,19,2.15,12,25
229,1,6,1,18,1.9,16,7
230,1,5,1,18,2.25,3,20
231,1,5,1,18,2.1,8,9
232,1,5,2,18,2.2,0,38
233,1,6,2,19,3.2,14,28
234,1,2,2,19,1.05,23,16
235,1,5,2,20,1.75,3,7.1375387954903005
236,1,5,1,19,2.7,20,54
237,1,5,1,20.1145491663072,2.2,13,23
238,1,2,2,19,2.15,16,1
239,1,6,1,18,3.95,29,44
240,1,5,1,18,2.3,22,32.33242798363439
241,1,2,2,21,1.05,0,3
242,1,5,1,20,2.35,19,4
243,1,5,1,19,1.9,5,17
244,1,5,2,19,1.5,12,43
245,1,5,1,18,1.35,0,13
246,1,5,1,18,1.25,3,27
247,1,5,2,18,1.55,0,7
248,1,6,2,18,3.1,5,10
249,1,5,2,19,1.15,0,0
250,1,6,1,19,1.8,15,16
251,1,5,1,21,1.2,0,5
252,1,5,1,21,2.95,13,39
253,1,5,2,18,1.2,5,16
254,1,4,1,22,3.35,7,19
255,1,5,1,18,2.65,14,40
256,1,2,1,19,1.9,19,25
257,1,2,1,21,1.6,5,57
258,1,5,2,19,1.25,0,28
259,1,6,2,19,1.8,16,20
260,1,5,1,19,1.5,23,73
261,1,5,2,21,2.45,16,29
262,1,2,2,19,1,8,1
263,1,5,1,18,3,8,25
264,1,5,1,18,3,10,37
265,1,5,1,18,1.8,2,19
266,1,5,2,18,1.35,0,4
267,1,5,1,18,3.3,13,57
268,1,5,2,18,1.45,2,2
269,1,2,1,18,1.9,10,31
270,1,6,1,20,2.65,28,56
271,1,5,1,21,1.65,7,14
272,1,5,1,18,2.95,0,15
273,1,5,2,21,1.75,3,6
274,1,5,2,19,1.35,0,7.376159162085261
275,1,5,1,18,3.45,33,37
276,1,5,1,18,1.45,12,41
